top-level_category,second-level_category,date,residual
Audio,Audio & Video Cables & Converters,2025-08-01,45211.426018736616
Audio,Audio & Video Cables & Converters,2025-09-01,16038.666318950707
Audio,Audio & Video Cables & Converters,2025-10-01,73419.6827038764
Audio,Audio & Video Cables & Converters,2025-11-01,1956.0851776010677
Audio,"Earphones, Headphones & Headsets",2022-03-01,518302.0
Audio,"Earphones, Headphones & Headsets",2022-04-01,9142.134516568449
Audio,"Earphones, Headphones & Headsets",2022-05-01,-45056.74927801575
Audio,"Earphones, Headphones & Headsets",2022-06-01,-2890.725685700134
Audio,"Earphones, Headphones & Headsets",2022-07-01,76336.23308992927
Audio,"Earphones, Headphones & Headsets",2022-08-01,66007.83349972154
Audio,"Earphones, Headphones & Headsets",2022-09-01,-203385.68401345913
Audio,"Earphones, Headphones & Headsets",2022-10-01,-200386.59927660055
Audio,"Earphones, Headphones & Headsets",2022-11-01,-147174.83321349023
Audio,"Earphones, Headphones & Headsets",2022-12-01,331474.2851761874
Audio,"Earphones, Headphones & Headsets",2023-01-01,190964.7043539153
Audio,"Earphones, Headphones & Headsets",2023-02-01,-57078.67065392248
Audio,"Earphones, Headphones & Headsets",2023-03-01,-83817.14061511878
Audio,"Earphones, Headphones & Headsets",2023-04-01,-246167.24364789645
Audio,"Earphones, Headphones & Headsets",2023-05-01,-86067.1845181149
Audio,"Earphones, Headphones & Headsets",2023-06-01,-10552.547849219
Audio,"Earphones, Headphones & Headsets",2023-07-01,119458.1768714544
Audio,"Earphones, Headphones & Headsets",2023-08-01,45784.69610842626
Audio,"Earphones, Headphones & Headsets",2023-09-01,-212048.92637032596
Audio,"Earphones, Headphones & Headsets",2023-10-01,-217176.81108395185
Audio,"Earphones, Headphones & Headsets",2023-11-01,-45205.87213849113
Audio,"Earphones, Headphones & Headsets",2023-12-01,401911.73839099985
Audio,"Earphones, Headphones & Headsets",2024-01-01,327779.1709824712
Audio,"Earphones, Headphones & Headsets",2024-02-01,-261905.24317604591
Audio,"Earphones, Headphones & Headsets",2024-03-01,-702921.7211510022
Audio,"Earphones, Headphones & Headsets",2024-04-01,-164735.05408317968
Audio,"Earphones, Headphones & Headsets",2024-05-01,540132.2829076168
Audio,"Earphones, Headphones & Headsets",2024-06-01,884869.1597281457
Audio,"Earphones, Headphones & Headsets",2024-07-01,-1202231.7097390802
Audio,"Earphones, Headphones & Headsets",2024-08-01,-85705.59813188622
Audio,"Earphones, Headphones & Headsets",2024-09-01,665736.8593784424
Audio,"Earphones, Headphones & Headsets",2024-10-01,-1557854.9599610954
Audio,"Earphones, Headphones & Headsets",2024-11-01,-379588.99021409405
Audio,"Earphones, Headphones & Headsets",2024-12-01,1022528.070856745
Audio,"Earphones, Headphones & Headsets",2025-01-01,493181.03575505805
Audio,"Earphones, Headphones & Headsets",2025-02-01,-469311.5923212939
Audio,"Earphones, Headphones & Headsets",2025-03-01,-1185903.201373095
Audio,"Earphones, Headphones & Headsets",2025-04-01,-469740.4392817382
Audio,"Earphones, Headphones & Headsets",2025-05-01,186029.23679883184
Audio,"Earphones, Headphones & Headsets",2025-06-01,828783.0850285834
Audio,"Earphones, Headphones & Headsets",2025-07-01,-826652.6940406756
Audio,"Earphones, Headphones & Headsets",2025-08-01,709869.5327217377
Audio,"Earphones, Headphones & Headsets",2025-09-01,-2718.9704249412753
Audio,"Earphones, Headphones & Headsets",2025-10-01,1406374.3271963084
Audio,"Earphones, Headphones & Headsets",2025-11-01,458210.99979319423
Audio,Home Audio & Speakers,2022-03-01,45449.0
Audio,Home Audio & Speakers,2022-04-01,26203.60320587024
Audio,Home Audio & Speakers,2022-05-01,-14035.78379544108
Audio,Home Audio & Speakers,2022-06-01,-1651.168199669453
Audio,Home Audio & Speakers,2022-07-01,26845.540518206188
Audio,Home Audio & Speakers,2022-08-01,14286.693400570735
Audio,Home Audio & Speakers,2022-09-01,-4656.097920759639
Audio,Home Audio & Speakers,2022-10-01,-15172.863892821682
Audio,Home Audio & Speakers,2022-11-01,-55628.52460964703
Audio,Home Audio & Speakers,2022-12-01,20813.772848659355
Audio,Home Audio & Speakers,2023-01-01,18404.108738549832
Audio,Home Audio & Speakers,2023-02-01,601.0915196936039
Audio,Home Audio & Speakers,2023-03-01,52304.85011287412
Audio,Home Audio & Speakers,2023-04-01,-49648.982104629424
Audio,Home Audio & Speakers,2023-05-01,-36933.75801311789
Audio,Home Audio & Speakers,2023-06-01,3685.138426490302
Audio,Home Audio & Speakers,2023-07-01,-3342.636007838082
Audio,Home Audio & Speakers,2023-08-01,-9181.50125789344
Audio,Home Audio & Speakers,2023-09-01,13829.123950074398
Audio,Home Audio & Speakers,2023-10-01,-9294.78430497874
Audio,Home Audio & Speakers,2023-11-01,36914.52469587006
Audio,Home Audio & Speakers,2023-12-01,127244.08645149466
Audio,Home Audio & Speakers,2024-01-01,30943.288489201048
Audio,Home Audio & Speakers,2024-02-01,-52601.72078189699
Audio,Home Audio & Speakers,2024-03-01,-30349.987068612943
