second-level_category,date,residual
Additional Accessories,2024-05-01,-448456.2996015018
Additional Accessories,2024-06-01,173270.55153784598
Additional Accessories,2024-07-01,-470684.3153551429
Additional Accessories,2024-08-01,-275133.14609512594
Additional Accessories,2024-09-01,1509404.650633216
Additional Accessories,2024-10-01,-571763.3579048871
Additional Accessories,2024-11-01,-315524.6384123545
Additional Accessories,2024-12-01,-329456.97358193446
Additional Accessories,2025-01-01,-24681.16184772097
Additional Accessories,2025-02-01,-92092.32307626342
Additional Accessories,2025-03-01,-286920.8044837173
Additional Accessories,2025-04-01,-364748.66556124645
Additional Accessories,2025-05-01,-340096.9010553856
Additional Accessories,2025-06-01,-421170.3568630521
Additional Accessories,2025-07-01,-252181.07269749942
Additional Accessories,2025-08-01,-181915.2981713774
Additional Accessories,2025-09-01,160883.40785592794
Additional Accessories,2025-10-01,1120513.6823761251
Additional Accessories,2025-11-01,513076.61913086544
Alcoholic Beverages,2022-03-01,0.0
Alcoholic Beverages,2022-04-01,0.0
Alcoholic Beverages,2022-05-01,0.0
Alcoholic Beverages,2022-06-01,0.0
Alcoholic Beverages,2022-07-01,0.0
Alcoholic Beverages,2022-08-01,0.0
Alcoholic Beverages,2022-09-01,0.0
Alcoholic Beverages,2022-10-01,0.0
Alcoholic Beverages,2022-11-01,1593.0
Alcoholic Beverages,2022-12-01,325.44358079343647
Alcoholic Beverages,2023-01-01,-104.56215787854944
Alcoholic Beverages,2023-02-01,-98.6369581287626
Alcoholic Beverages,2023-03-01,-93.49352002016269
Alcoholic Beverages,2023-04-01,-87.61404265394052
Alcoholic Beverages,2023-05-01,-82.23489044627301
Alcoholic Beverages,2023-06-01,-77.00226374023548
Alcoholic Beverages,2023-07-01,1364.0363669561477
Alcoholic Beverages,2023-08-01,5394.3850945474605
Alcoholic Beverages,2023-09-01,13375.290764243371
Alcoholic Beverages,2023-10-01,13759.009724815258
Alcoholic Beverages,2023-11-01,23026.446762946252
Alcoholic Beverages,2023-12-01,53904.472331431796
Alcoholic Beverages,2024-01-01,50611.50209225157
Alcoholic Beverages,2024-02-01,4514.608645384229
Alcoholic Beverages,2024-03-01,-3932.6740484940165
Alcoholic Beverages,2024-04-01,-2344.325882201272
Alcoholic Beverages,2024-05-01,27110.207827555198
Alcoholic Beverages,2024-06-01,10784.302106921437
Alcoholic Beverages,2024-07-01,-7405.909571796504
Alcoholic Beverages,2024-08-01,-5505.595959632225
Alcoholic Beverages,2024-09-01,-3884.1651792836974
Alcoholic Beverages,2024-10-01,-2735.360591880869
Alcoholic Beverages,2024-11-01,-4294.377608043202
Alcoholic Beverages,2024-12-01,7845.420483358645
Alcoholic Beverages,2025-01-01,9374.140434245714
Alcoholic Beverages,2025-02-01,-121.93286971832276
Alcoholic Beverages,2025-03-01,-2868.817647841862
Alcoholic Beverages,2025-04-01,-204.4879398478556
Alcoholic Beverages,2025-05-01,7945.373520818364
Alcoholic Beverages,2025-06-01,11106.043428428598
Alcoholic Beverages,2025-07-01,16102.995190443111
Alcoholic Beverages,2025-08-01,-25441.05832538428
Alcoholic Beverages,2025-09-01,-42459.669907538344
