top-level_category,second-level_category,forecast_date,forecast_sold_per_month
Automobiles,Automobile Spare Parts,2026-10-01,951138.39
Automobiles,Automobile Spare Parts,2026-11-01,2114691.25
Automobiles,Automotive Care,2025-12-01,1163596.24
Automobiles,Automotive Care,2026-01-01,844204.42
Automobiles,Automotive Care,2026-02-01,773634.1
Automobiles,Automotive Care,2026-03-01,1512729.89
Automobiles,Automotive Care,2026-04-01,1351068.77
Automobiles,Automotive Care,2026-05-01,1201389.19
Automobiles,Automotive Care,2026-06-01,539205.17
Automobiles,Automotive Care,2026-07-01,722004.9
Automobiles,Automotive Care,2026-08-01,687679.14
Automobiles,Automotive Care,2026-09-01,0.0
Automobiles,Automotive Care,2026-10-01,1075541.71
Automobiles,Automotive Care,2026-11-01,1003526.83
Automobiles,Automotive Keychains & Key Covers,2025-12-01,58981.71
Automobiles,Automotive Keychains & Key Covers,2026-01-01,65648.41
Automobiles,Automotive Keychains & Key Covers,2026-02-01,60097.18
Automobiles,Automotive Keychains & Key Covers,2026-03-01,66049.11
Automobiles,Automotive Keychains & Key Covers,2026-04-01,100562.13
Automobiles,Automotive Keychains & Key Covers,2026-05-01,63014.67
Automobiles,Automotive Keychains & Key Covers,2026-06-01,61703.81
Automobiles,Automotive Keychains & Key Covers,2026-07-01,63306.35
Automobiles,Automotive Keychains & Key Covers,2026-08-01,122169.51
Automobiles,Automotive Keychains & Key Covers,2026-09-01,155983.11
Automobiles,Automotive Keychains & Key Covers,2026-10-01,75029.94
Automobiles,Automotive Keychains & Key Covers,2026-11-01,100397.99
Automobiles,Automotive Oils & Lubes,2025-12-01,195222.26
Automobiles,Automotive Oils & Lubes,2026-01-01,260450.6
Automobiles,Automotive Oils & Lubes,2026-02-01,252362.87
Automobiles,Automotive Oils & Lubes,2026-03-01,257442.69
Automobiles,Automotive Oils & Lubes,2026-04-01,282641.44
Automobiles,Automotive Oils & Lubes,2026-05-01,380421.56
Automobiles,Automotive Oils & Lubes,2026-06-01,347379.77
Automobiles,Automotive Oils & Lubes,2026-07-01,298610.75
Automobiles,Automotive Oils & Lubes,2026-08-01,291917.94
Automobiles,Automotive Oils & Lubes,2026-09-01,246185.99
Automobiles,Automotive Oils & Lubes,2026-10-01,196283.49
Automobiles,Automotive Oils & Lubes,2026-11-01,290615.15
Automobiles,Automotive Tools,2025-12-01,196541.38
Automobiles,Automotive Tools,2026-01-01,253580.23
Automobiles,Automotive Tools,2026-02-01,210491.65
Automobiles,Automotive Tools,2026-03-01,263964.01
Automobiles,Automotive Tools,2026-04-01,277237.69
Automobiles,Automotive Tools,2026-05-01,445377.52
Automobiles,Automotive Tools,2026-06-01,217479.01
Automobiles,Automotive Tools,2026-07-01,316482.56
Automobiles,Automotive Tools,2026-08-01,209472.11
Automobiles,Automotive Tools,2026-09-01,321049.29
Automobiles,Automotive Tools,2026-10-01,143524.94
Automobiles,Automotive Tools,2026-11-01,390968.24
Automobiles,Others,2025-12-01,12466.17
Automobiles,Others,2026-01-01,1569.3
Automobiles,Others,2026-02-01,1646.95
Automobiles,Others,2026-03-01,0.0
Automobiles,Others,2026-04-01,1695.8
Automobiles,Others,2026-05-01,1686.46
Automobiles,Others,2026-06-01,0.0
Automobiles,Others,2026-07-01,1552.49
Automobiles,Others,2026-08-01,1840.51
Automobiles,Others,2026-09-01,0.0
Automobiles,Others,2026-10-01,2165.4
Automobiles,Others,2026-11-01,1137.44
Baby & Kids Fashion,Baby & Kids Accessories,2025-12-01,682129.28
Baby & Kids Fashion,Baby & Kids Accessories,2026-01-01,0.0
Baby & Kids Fashion,Baby & Kids Accessories,2026-02-01,693925.39
Baby & Kids Fashion,Baby & Kids Accessories,2026-03-01,1072280.88
Baby & Kids Fashion,Baby & Kids Accessories,2026-04-01,1310248.7
Baby & Kids Fashion,Baby & Kids Accessories,2026-05-01,1795953.04
Baby & Kids Fashion,Baby & Kids Accessories,2026-06-01,4259517.95
Baby & Kids Fashion,Baby & Kids Accessories,2026-07-01,2676357.49
Baby & Kids Fashion,Baby & Kids Accessories,2026-08-01,2009453.93
Baby & Kids Fashion,Baby & Kids Accessories,2026-09-01,9946149.54
Baby & Kids Fashion,Baby & Kids Accessories,2026-10-01,734894.96
Baby & Kids Fashion,Baby & Kids Accessories,2026-11-01,2173706.82
Baby & Kids Fashion,Baby Clothes,2025-12-01,122202.59
Baby & Kids Fashion,Baby Clothes,2026-01-01,61487.11
Baby & Kids Fashion,Baby Clothes,2026-02-01,27371.53
Baby & Kids Fashion,Baby Clothes,2026-03-01,68049.26
Baby & Kids Fashion,Baby Clothes,2026-04-01,114455.95
Baby & Kids Fashion,Baby Clothes,2026-05-01,179166.01
Baby & Kids Fashion,Baby Clothes,2026-06-01,289557.49
Baby & Kids Fashion,Baby Clothes,2026-07-01,115860.67
Baby & Kids Fashion,Baby Clothes,2026-08-01,94867.2
Baby & Kids Fashion,Baby Clothes,2026-09-01,100347.03
Baby & Kids Fashion,Baby Clothes,2026-10-01,61067.02
Baby & Kids Fashion,Baby Clothes,2026-11-01,73343.34
Baby & Kids Fashion,Baby Mittens & Footwear,2025-12-01,49695.99
Baby & Kids Fashion,Baby Mittens & Footwear,2026-01-01,50215.64
Baby & Kids Fashion,Baby Mittens & Footwear,2026-02-01,40939.62
Baby & Kids Fashion,Baby Mittens & Footwear,2026-03-01,41480.07
Baby & Kids Fashion,Baby Mittens & Footwear,2026-04-01,30194.46
Baby & Kids Fashion,Baby Mittens & Footwear,2026-05-01,153041.25
Baby & Kids Fashion,Baby Mittens & Footwear,2026-06-01,121398.21
Baby & Kids Fashion,Baby Mittens & Footwear,2026-07-01,50821.21
Baby & Kids Fashion,Baby Mittens & Footwear,2026-08-01,64131.68
Baby & Kids Fashion,Baby Mittens & Footwear,2026-09-01,441598.68
Baby & Kids Fashion,Baby Mittens & Footwear,2026-10-01,40669.7
Baby & Kids Fashion,Baby Mittens & Footwear,2026-11-01,160744.15
Baby & Kids Fashion,Boy Clothes,2025-12-01,714414.93
Baby & Kids Fashion,Boy Clothes,2026-01-01,381288.85
Baby & Kids Fashion,Boy Clothes,2026-02-01,390418.47
Baby & Kids Fashion,Boy Clothes,2026-03-01,5714.65
Baby & Kids Fashion,Boy Clothes,2026-04-01,728491.85
Baby & Kids Fashion,Boy Clothes,2026-05-01,1622001.65
Baby & Kids Fashion,Boy Clothes,2026-06-01,3051153.85
Baby & Kids Fashion,Boy Clothes,2026-07-01,1184888.68
Baby & Kids Fashion,Boy Clothes,2026-08-01,709209.09
Baby & Kids Fashion,Boy Clothes,2026-09-01,431669.91
Baby & Kids Fashion,Boy Clothes,2026-10-01,241200.76
Baby & Kids Fashion,Boy Clothes,2026-11-01,364764.98
Baby & Kids Fashion,Boy Shoes,2025-12-01,142424.72
Baby & Kids Fashion,Boy Shoes,2026-01-01,13197.35
Baby & Kids Fashion,Boy Shoes,2026-02-01,21328.39
Baby & Kids Fashion,Boy Shoes,2026-03-01,23813.3
Baby & Kids Fashion,Boy Shoes,2026-04-01,20054.75
Baby & Kids Fashion,Boy Shoes,2026-05-01,77755.66
Baby & Kids Fashion,Boy Shoes,2026-06-01,78767.65
Baby & Kids Fashion,Boy Shoes,2026-07-01,70365.47
Baby & Kids Fashion,Boy Shoes,2026-08-01,24071.7
Baby & Kids Fashion,Boy Shoes,2026-09-01,44412.75
Baby & Kids Fashion,Boy Shoes,2026-10-01,10845.58
Baby & Kids Fashion,Boy Shoes,2026-11-01,51166.28
Baby & Kids Fashion,Girl Clothes,2025-12-01,452199.27
Baby & Kids Fashion,Girl Clothes,2026-01-01,44443.57
Baby & Kids Fashion,Girl Clothes,2026-02-01,0.0
Baby & Kids Fashion,Girl Clothes,2026-03-01,0.0
Baby & Kids Fashion,Girl Clothes,2026-04-01,0.0
Baby & Kids Fashion,Girl Clothes,2026-05-01,0.0
Baby & Kids Fashion,Girl Clothes,2026-06-01,603450.34
Baby & Kids Fashion,Girl Clothes,2026-07-01,0.0
Baby & Kids Fashion,Girl Clothes,2026-08-01,0.0
Baby & Kids Fashion,Girl Clothes,2026-09-01,0.0
Baby & Kids Fashion,Girl Clothes,2026-10-01,0.0
Baby & Kids Fashion,Girl Clothes,2026-11-01,0.0
Baby & Kids Fashion,Girl Shoes,2025-12-01,199620.55
Baby & Kids Fashion,Girl Shoes,2026-01-01,15150.6
Baby & Kids Fashion,Girl Shoes,2026-02-01,1172.87
Baby & Kids Fashion,Girl Shoes,2026-03-01,30244.66
Baby & Kids Fashion,Girl Shoes,2026-04-01,153538.87
Baby & Kids Fashion,Girl Shoes,2026-05-01,58078.95
Baby & Kids Fashion,Girl Shoes,2026-06-01,293652.58
Baby & Kids Fashion,Girl Shoes,2026-07-01,87682.9
Baby & Kids Fashion,Girl Shoes,2026-08-01,20584.93
Baby & Kids Fashion,Girl Shoes,2026-09-01,130530.83
Baby & Kids Fashion,Girl Shoes,2026-10-01,45730.86
Baby & Kids Fashion,Girl Shoes,2026-11-01,4277.96
Baby & Kids Fashion,Others,2025-12-01,593.14
Baby & Kids Fashion,Others,2026-01-01,926.42
Baby & Kids Fashion,Others,2026-02-01,1071.97
Baby & Kids Fashion,Others,2026-03-01,921.42
Baby & Kids Fashion,Others,2026-04-01,394.74
Baby & Kids Fashion,Others,2026-05-01,810.34
Baby & Kids Fashion,Others,2026-06-01,1223.13
Baby & Kids Fashion,Others,2026-07-01,1512.23
Baby & Kids Fashion,Others,2026-08-01,0.0
Baby & Kids Fashion,Others,2026-09-01,0.0
Baby & Kids Fashion,Others,2026-10-01,182.01
Baby & Kids Fashion,Others,2026-11-01,0.0
Beauty,Bath & Body Care,2025-12-01,14833721.17
Beauty,Bath & Body Care,2026-01-01,23622481.38
Beauty,Bath & Body Care,2026-02-01,37147574.2
Beauty,Bath & Body Care,2026-03-01,58981672.34
Beauty,Bath & Body Care,2026-04-01,92467819.23
Beauty,Bath & Body Care,2026-05-01,144925954.33
Beauty,Bath & Body Care,2026-06-01,226985533.79
Beauty,Bath & Body Care,2026-07-01,354678974.4
Beauty,Bath & Body Care,2026-08-01,555175022.05
Beauty,Bath & Body Care,2026-09-01,869151320.23
Beauty,Bath & Body Care,2026-10-01,1361668469.28
Beauty,Bath & Body Care,2026-11-01,2133555556.48
Beauty,Beauty Sets & Packages,2025-12-01,1621412.16
Beauty,Beauty Sets & Packages,2026-01-01,2076374.63
Beauty,Beauty Sets & Packages,2026-02-01,1688213.14
Beauty,Beauty Sets & Packages,2026-03-01,2222967.58
Beauty,Beauty Sets & Packages,2026-04-01,2043630.25
Beauty,Beauty Sets & Packages,2026-05-01,2663701.84
Beauty,Beauty Sets & Packages,2026-06-01,3254486.64
Beauty,Beauty Sets & Packages,2026-07-01,2362026.33
Beauty,Beauty Sets & Packages,2026-08-01,1846597.37
Beauty,Beauty Sets & Packages,2026-09-01,3055514.2
Beauty,Beauty Sets & Packages,2026-10-01,1314016.65
Beauty,Beauty Sets & Packages,2026-11-01,815073.87
Beauty,Beauty Tools,2025-12-01,10246670.76
Beauty,Beauty Tools,2026-01-01,10145953.65
Beauty,Beauty Tools,2026-02-01,10211084.12
Beauty,Beauty Tools,2026-03-01,10462659.22
Beauty,Beauty Tools,2026-04-01,10627141.9
Beauty,Beauty Tools,2026-05-01,11018436.57
Beauty,Beauty Tools,2026-06-01,11571524.57
Beauty,Beauty Tools,2026-07-01,11463469.31
Beauty,Beauty Tools,2026-08-01,11713777.68
Beauty,Beauty Tools,2026-09-01,207299381.83
Beauty,Beauty Tools,2026-10-01,12055629.69
Beauty,Beauty Tools,2026-11-01,12547770.17
Beauty,Hair Care,2025-12-01,5764007.56
Beauty,Hair Care,2026-01-01,7613862.61
Beauty,Hair Care,2026-02-01,10074706.93
Beauty,Hair Care,2026-03-01,13626537.93
Beauty,Hair Care,2026-04-01,18201194.6
Beauty,Hair Care,2026-05-01,24159369.02
Beauty,Hair Care,2026-06-01,31969636.45
Beauty,Hair Care,2026-07-01,42528536.37
Beauty,Hair Care,2026-08-01,56216536.78
Beauty,Hair Care,2026-09-01,74036915.27
Beauty,Hair Care,2026-10-01,97810538.5
Beauty,Hair Care,2026-11-01,129087431.7
Beauty,"Hand, Foot & Nail Care",2025-12-01,0.0
Beauty,"Hand, Foot & Nail Care",2026-01-01,351738.93
Beauty,"Hand, Foot & Nail Care",2026-02-01,542016.86
Beauty,"Hand, Foot & Nail Care",2026-03-01,394324.66
Beauty,"Hand, Foot & Nail Care",2026-04-01,1402226.75
Beauty,"Hand, Foot & Nail Care",2026-05-01,2566917.26
Beauty,"Hand, Foot & Nail Care",2026-06-01,1149108.2
Beauty,"Hand, Foot & Nail Care",2026-07-01,907148.0
Beauty,"Hand, Foot & Nail Care",2026-08-01,2605580.14
Beauty,"Hand, Foot & Nail Care",2026-09-01,4307811.3
Beauty,"Hand, Foot & Nail Care",2026-10-01,2822822.4
Beauty,"Hand, Foot & Nail Care",2026-11-01,979337.44
Beauty,Makeup,2025-12-01,2724293.63
Beauty,Makeup,2026-01-01,6193042.85
Beauty,Makeup,2026-02-01,8587522.88
Beauty,Makeup,2026-03-01,25895585.91
Beauty,Makeup,2026-04-01,19568681.88
Beauty,Makeup,2026-05-01,10385808.77
Beauty,Makeup,2026-06-01,0.0
Beauty,Makeup,2026-07-01,0.0
Beauty,Makeup,2026-08-01,5597022.85
Beauty,Makeup,2026-09-01,0.0
Beauty,Makeup,2026-10-01,28223207.56
Beauty,Makeup,2026-11-01,16698581.75
Beauty,Men's Care,2025-12-01,1456835.27
Beauty,Men's Care,2026-01-01,1556227.4
Beauty,Men's Care,2026-02-01,1670770.6
Beauty,Men's Care,2026-03-01,1775757.64
Beauty,Men's Care,2026-04-01,2044396.78
Beauty,Men's Care,2026-05-01,2182451.49
Beauty,Men's Care,2026-06-01,2341194.27
Beauty,Men's Care,2026-07-01,2544617.32
Beauty,Men's Care,2026-08-01,2706534.21
Beauty,Men's Care,2026-09-01,2646097.71
Beauty,Men's Care,2026-10-01,2561887.0
Beauty,Men's Care,2026-11-01,2535037.4
Beauty,Others,2025-12-01,14926.93
Beauty,Others,2026-01-01,39376.26
Beauty,Others,2026-02-01,56819.82
Beauty,Others,2026-03-01,104279.73
Beauty,Others,2026-04-01,153613.51
Beauty,Others,2026-05-01,161214.6
Beauty,Others,2026-06-01,147833.59
Beauty,Others,2026-07-01,151428.28
Beauty,Others,2026-08-01,153935.97
Beauty,Others,2026-09-01,141718.3
Beauty,Others,2026-10-01,112487.77
Beauty,Others,2026-11-01,100770.54
Beauty,Perfumes & Fragrances,2025-12-01,136816896.74
Beauty,Perfumes & Fragrances,2026-01-01,543082427.21
Beauty,Perfumes & Fragrances,2026-02-01,2162022608.05
Beauty,Perfumes & Fragrances,2026-03-01,8610987371.63
Beauty,Perfumes & Fragrances,2026-04-01,34298065152.86
Beauty,Perfumes & Fragrances,2026-05-01,136614499964.47
Beauty,Perfumes & Fragrances,2026-06-01,544158872990.73
Beauty,Perfumes & Fragrances,2026-07-01,2167479341016.98
Beauty,Perfumes & Fragrances,2026-08-01,8633449310137.02
Beauty,Perfumes & Fragrances,2026-09-01,34388537016655.28
Beauty,Perfumes & Fragrances,2026-10-01,136975557280593.27
Beauty,Perfumes & Fragrances,2026-11-01,545597604596975.1
Beauty,Skincare,2025-12-01,15397592.24
Beauty,Skincare,2026-01-01,15101833.81
Beauty,Skincare,2026-02-01,15353078.39
Beauty,Skincare,2026-03-01,19701580.33
Beauty,Skincare,2026-04-01,19762183.9
Beauty,Skincare,2026-05-01,18901822.6
Beauty,Skincare,2026-06-01,19095002.27
Beauty,Skincare,2026-07-01,19803574.97
Beauty,Skincare,2026-08-01,19794728.16
Beauty,Skincare,2026-09-01,19768676.05
Beauty,Skincare,2026-10-01,20439526.07
Beauty,Skincare,2026-11-01,20913353.1
Books & Magazines,Books,2025-12-01,856518.61
Books & Magazines,Books,2026-01-01,1320405.51
Books & Magazines,Books,2026-02-01,731714.58
Books & Magazines,Books,2026-03-01,1385906.01
Books & Magazines,Books,2026-04-01,723908.39
Books & Magazines,Books,2026-05-01,1488162.2
Books & Magazines,Books,2026-06-01,669264.82
Books & Magazines,Books,2026-07-01,1642088.54
Books & Magazines,Books,2026-08-01,610490.2
Books & Magazines,Books,2026-09-01,2030962.19
Books & Magazines,Books,2026-10-01,730945.16
Books & Magazines,Books,2026-11-01,3301617.83
Books & Magazines,Magazines & Newspaper,2025-12-01,0.0
Books & Magazines,Magazines & Newspaper,2026-01-01,0.0
Books & Magazines,Magazines & Newspaper,2026-02-01,0.0
Books & Magazines,Magazines & Newspaper,2026-03-01,0.0
Books & Magazines,Magazines & Newspaper,2026-04-01,0.0
Books & Magazines,Magazines & Newspaper,2026-05-01,0.0
Books & Magazines,Magazines & Newspaper,2026-06-01,0.0
Books & Magazines,Magazines & Newspaper,2026-07-01,0.0
Books & Magazines,Magazines & Newspaper,2026-08-01,270.97
Books & Magazines,Magazines & Newspaper,2026-09-01,993.32
Books & Magazines,Magazines & Newspaper,2026-10-01,293.17
Books & Magazines,Magazines & Newspaper,2026-11-01,302.58
Books & Magazines,Others,2025-12-01,33573.09
Books & Magazines,Others,2026-01-01,41432.96
Books & Magazines,Others,2026-02-01,39124.99
Books & Magazines,Others,2026-03-01,53577.33
Books & Magazines,Others,2026-04-01,69211.6
Books & Magazines,Others,2026-05-01,58377.68
Books & Magazines,Others,2026-06-01,0.0
Books & Magazines,Others,2026-07-01,23187.53
Books & Magazines,Others,2026-08-01,29003.8
Books & Magazines,Others,2026-09-01,52289.88
Books & Magazines,Others,2026-10-01,79007.11
Books & Magazines,Others,2026-11-01,121790.36
Cameras & Drones,Camera Accessories,2025-12-01,162807.03
Cameras & Drones,Camera Accessories,2026-01-01,170674.83
Cameras & Drones,Camera Accessories,2026-02-01,176906.61
Cameras & Drones,Camera Accessories,2026-03-01,216925.76
Cameras & Drones,Camera Accessories,2026-04-01,241151.67
Cameras & Drones,Camera Accessories,2026-05-01,197811.46
Cameras & Drones,Camera Accessories,2026-06-01,220888.66
Cameras & Drones,Camera Accessories,2026-07-01,247388.22
